1/350 Connells Worthing: 0 best, 47 other
2/350 William H Brown Worthing: 1 best, 2 other
3/350 Fox & Sons Worthing: 1 best, 2 other
4/350 Barnard Marcus Worthing: 1 best, 2 other
5/350 Allen & Harris Worthing: 1 best, 2 other
6/350 Romans Brighton: 4 best, 82 other
7/350 Leaders Brighton: 5 best, 342 other
8/350 Mansell McTaggart Brighton: 0 best, 9 other
9/350 Henry Adams Brighton: 0 best, 38 other
10/350 Jacobs Steel Brighton: 0 best, 0 other
11/350 Martin & Co Hove: 0 best, 0 other
12/350 Winkworth Hove: 2 best, 1 other
13/350 Hamptons Hove: 1 best, 38 other
14/350 Savills Hove: 0 best, 0 other
15/350 Knight Frank Hove: 0 best, 0 other
16/350 Barnard Marcus Chichester: 1 best, 2 other
17/350 Allen & Harris Chichester: 1 best, 2 other
18/350 Mann Chichester: 0 best, 44 other
19/350 Bairstow Eves Chichester: 0 best, 110 other
20/350 Abbotts Chichester: 0 best, 33 other
21/350 Henry Adams Bognor Regis: 2 best, 36 other
22/350 Jacobs Steel Bognor Regis: 0 best, 0 other
23/350 Michael Jones Bognor Regis: 0 best, 0 other
24/350 Robert Luff & Co Bognor Regis: 2 best, 6 other
25/350 Bacon & Company Bognor Regis: 1 best, 3 other
26/350 Savills Littlehampton: 0 best, 0 other
27/350 Knight Frank Littlehampton: 0 best, 0 other
28/350 Strutt & Parker Littlehampton: 0 best, 1 other
29/350 Fine & Country Littlehampton: 0 best, 0 other
30/350 Chancellors Littlehampton: 0 best, 83 other
31/350 Bairstow Eves Arundel: 0 best, 110 other
32/350 Abbotts Arundel: 0 best, 33 other
33/350 Taylors Arundel: 0 best, 46 other
34/350 Gascoigne-Pees Arundel: 0 best, 19 other
35/350 King & Chasemore Arundel: 0 best, 17 other
36/350 Robert Luff & Co Shoreham-by-Sea: 2 best, 6 other
37/350 Bacon & Company Shoreham-by-Sea: 1 best, 3 other
38/350 Sims Williams Shoreham-by-Sea: 0 best, 0 other
39/350 Oakfield Shoreham-by-Sea: 1 best, 7 other
40/350 Brand Vaughan Shoreham-by-Sea: 1 best, 2 other
41/350 Fine & Country Lancing: 0 best, 0 other
42/350 Chancellors Lancing: 0 best, 83 other
43/350 Haart Lancing: 0 best, 1 other
44/350 Spicerhaart Lancing: 0 best, 1 other
45/350 KFH Lancing: 0 best, 99 other
46/350 Gascoigne-Pees Horsham: 2 best, 17 other
47/350 King & Chasemore Horsham: 0 best, 17 other
48/350 Cubitt & West Horsham: 0 best, 0 other
49/350 Douglas Allen Horsham: 0 best, 0 other
50/350 Wards Horsham: 0 best, 0 other
51/350 Oakfield Crawley: 1 best, 6 other
52/350 Brand Vaughan Crawley: 0 best, 0 other
53/350 Maslen Estate Agents Crawley: 0 best, 0 other
54/350 Move Sussex Crawley: 1 best, 0 other
55/350 Taylor Engley Crawley: 0 best, 0 other
56/350 Spicerhaart Haywards Heath: 0 best, 1 other
57/350 KFH Haywards Heath: 2 best, 97 other
58/350 Foxtons Haywards Heath: 1 best, 60 other
59/350 Chestertons Haywards Heath: 1 best, 99 other
60/350 Dexters Haywards Heath: 0 best, 0 other
61/350 Douglas Allen Burgess Hill: 0 best, 0 other
62/350 Wards Burgess Hill: 0 best, 0 other
63/350 Your Move Burgess Hill: 0 best, 0 other
64/350 Reeds Rains Burgess Hill: 0 best, 0 other
65/350 Hunters Burgess Hill: 0 best, 0 other
66/350 Move Sussex East Grinstead: 1 best, 0 other
67/350 Taylor Engley East Grinstead: 0 best, 0 other
68/350 Town Property East Grinstead: 3 best, 0 other
69/350 Open House East Grinstead: 0 best, 0 other
70/350 Connells East Grinstead: 0 best, 47 other
71/350 Chestertons Hassocks: 1 best, 99 other
72/350 Dexters Hassocks: 0 best, 0 other
73/350 Acorn Hassocks: 0 best, 0 other
74/350 Andrews Hassocks: 1 best, 0 other
75/350 Romans Hassocks: 4 best, 82 other
76/350 Reeds Rains Uckfield: 0 best, 0 other
77/350 Hunters Uckfield: 0 best, 0 other
78/350 Belvoir Uckfield: 0 best, 0 other
79/350 Northwood Uckfield: 0 best, 0 other
80/350 Martin & Co Uckfield: 0 best, 0 other
81/350 Open House Lewes: 0 best, 0 other
82/350 Connells Lewes: 0 best, 47 other
83/350 William H Brown Lewes: 1 best, 2 other
84/350 Fox & Sons Lewes: 1 best, 2 other
85/350 Barnard Marcus Lewes: 1 best, 2 other
86/350 Andrews Eastbourne: 1 best, 0 other
87/350 Romans Eastbourne: 4 best, 82 other
88/350 Leaders Eastbourne: 6 best, 341 other
89/350 Mansell McTaggart Eastbourne: 0 best, 0 other
90/350 Henry Adams Eastbourne: 0 best, 38 other
91/350 Northwood Hastings: 0 best, 0 other
92/350 Martin & Co Hastings: 0 best, 0 other
93/350 Winkworth Hastings: 0 best, 1 other
94/350 Hamptons Hastings: 0 best, 39 other
95/350 Savills Hastings: 0 best, 0 other
96/350 Fox & Sons Bexhill-on-Sea: 1 best, 3 other
97/350 Barnard Marcus Bexhill-on-Sea: 1 best, 2 other
98/350 Allen & Harris Bexhill-on-Sea: 1 best, 2 other
99/350 Mann Bexhill-on-Sea: 0 best, 44 other
100/350 Bairstow Eves Bexhill-on-Sea: 5 best, 105 other
101/350 Mansell McTaggart Rye: 0 best, 0 other
102/350 Henry Adams Rye: 0 best, 38 other
103/350 Jacobs Steel Rye: 0 best, 0 other
104/350 Michael Jones Rye: 0 best, 0 other
105/350 Robert Luff & Co Rye: 2 best, 6 other
106/350 Hamptons Crowborough: 0 best, 39 other
107/350 Savills Crowborough: 0 best, 0 other
108/350 Knight Frank Crowborough: 0 best, 0 other
109/350 Strutt & Parker Crowborough: 0 best, 1 other
110/350 Fine & Country Crowborough: 0 best, 0 other
111/350 Mann Tunbridge Wells: 0 best, 44 other
112/350 Bairstow Eves Tunbridge Wells: 0 best, 110 other
113/350 Abbotts Tunbridge Wells: 0 best, 33 other
114/350 Taylors Tunbridge Wells: 0 best, 46 other
115/350 Gascoigne-Pees Tunbridge Wells: 0 best, 19 other
116/350 Michael Jones Maidstone: 0 best, 0 other
117/350 Robert Luff & Co Maidstone: 2 best, 6 other
118/350 Bacon & Company Maidstone: 1 best, 3 other
119/350 Sims Williams Maidstone: 0 best, 0 other
120/350 Oakfield Maidstone: 1 best, 6 other
121/350 Strutt & Parker Croydon: 0 best, 1 other
122/350 Fine & Country Croydon: 0 best, 0 other
123/350 Chancellors Croydon: 0 best, 83 other
124/350 Haart Croydon: 0 best, 1 other
125/350 Spicerhaart Croydon: 0 best, 1 other
126/350 Taylors Bromley: 0 best, 46 other
127/350 Gascoigne-Pees Bromley: 0 best, 19 other
128/350 King & Chasemore Bromley: 0 best, 17 other
129/350 Cubitt & West Bromley: 0 best, 0 other
130/350 Douglas Allen Bromley: 0 best, 0 other
131/350 Sims Williams Guildford: 0 best, 0 other
132/350 Oakfield Guildford: 1 best, 6 other
133/350 Brand Vaughan Guildford: 0 best, 0 other
134/350 Maslen Estate Agents Guildford: 0 best, 0 other
135/350 Move Sussex Guildford: 1 best, 0 other
136/350 Haart Woking: 0 best, 1 other
137/350 Spicerhaart Woking: 0 best, 1 other
138/350 KFH Woking: 0 best, 99 other
139/350 Foxtons Woking: 1 best, 60 other
140/350 Chestertons Woking: 1 best, 99 other
141/350 Cubitt & West Reigate: 0 best, 0 other
142/350 Douglas Allen Reigate: 0 best, 0 other
143/350 Wards Reigate: 0 best, 0 other
144/350 Your Move Reigate: 0 best, 0 other
145/350 Reeds Rains Reigate: 0 best, 0 other
146/350 Maslen Estate Agents Redhill: 0 best, 0 other
147/350 Move Sussex Redhill: 1 best, 0 other
148/350 Taylor Engley Redhill: 0 best, 0 other
149/350 Town Property Redhill: 3 best, 0 other
150/350 Open House Redhill: 0 best, 0 other
151/350 Foxtons Epsom: 0 best, 0 other
152/350 Chestertons Epsom: 1 best, 99 other
153/350 Dexters Epsom: 0 best, 0 other
154/350 Acorn Epsom: 0 best, 0 other
155/350 Andrews Epsom: 1 best, 0 other
156/350 Your Move Reading: 0 best, 0 other
157/350 Reeds Rains Reading: 0 best, 0 other
158/350 Hunters Reading: 0 best, 0 other
159/350 Belvoir Reading: 0 best, 0 other
160/350 Northwood Reading: 0 best, 0 other
161/350 Town Property Oxford: 3 best, 0 other
162/350 Open House Oxford: 0 best, 0 other
163/350 Connells Oxford: 0 best, 47 other
164/350 William H Brown Oxford: 1 best, 2 other
165/350 Fox & Sons Oxford: 1 best, 2 other
166/350 Acorn Basingstoke: 0 best, 0 other
167/350 Andrews Basingstoke: 1 best, 0 other
168/350 Romans Basingstoke: 3 best, 88 other
169/350 Leaders Basingstoke: 5 best, 342 other
170/350 Mansell McTaggart Basingstoke: 0 best, 0 other
171/350 Belvoir Winchester: 0 best, 0 other
172/350 Northwood Winchester: 0 best, 0 other
173/350 Martin & Co Winchester: 0 best, 0 other
174/350 Winkworth Winchester: 2 best, 1 other
175/350 Hamptons Winchester: 0 best, 39 other
176/350 William H Brown Southampton: 1 best, 2 other
177/350 Fox & Sons Southampton: 1 best, 2 other
178/350 Barnard Marcus Southampton: 1 best, 2 other
179/350 Allen & Harris Southampton: 1 best, 2 other
180/350 Mann Southampton: 0 best, 44 other
181/350 Leaders Portsmouth: 4 best, 343 other
