agency_name,town,website,contact_page_url,region_focus,status,notes
Connells,Worthing,https://www.connells.co.uk,https://www.connells.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
William H Brown,Worthing,https://www.williamhbrown.co.uk,https://www.williamhbrown.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Fox & Sons,Worthing,https://www.fox-and-sons.co.uk,https://www.fox-and-sons.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Barnard Marcus,Worthing,https://www.barnardmarcus.co.uk,https://www.barnardmarcus.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Allen & Harris,Worthing,https://www.allenandharris.co.uk,https://www.allenandharris.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Romans,Brighton,https://www.romans.co.uk,https://www.romans.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Leaders,Brighton,https://www.leaders.co.uk,https://www.leaders.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Mansell McTaggart,Brighton,https://www.mansellmctaggart.co.uk,https://www.mansellmctaggart.co.uk/contact,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Henry Adams,Brighton,https://www.henryadams.co.uk,https://www.henryadams.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Jacobs Steel,Brighton,https://www.jacobssteel.co.uk,https://www.jacobssteel.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Martin & Co,Hove,https://www.martinco.com,https://www.martinco.com/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Winkworth,Hove,https://www.winkworth.co.uk,https://www.winkworth.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Hamptons,Hove,https://www.hamptons.co.uk,https://www.hamptons.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Savills,Hove,https://www.savills.co.uk,https://www.savills.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Knight Frank,Hove,https://www.knightfrank.co.uk,https://www.knightfrank.co.uk/contact,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Barnard Marcus,Chichester,https://www.barnardmarcus.co.uk,https://www.barnardmarcus.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Allen & Harris,Chichester,https://www.allenandharris.co.uk,https://www.allenandharris.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Mann,Chichester,https://www.manncountrywide.co.uk,https://www.manncountrywide.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Bairstow Eves,Chichester,https://www.bairstoweves.co.uk,https://www.bairstoweves.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Abbotts,Chichester,https://www.abbotts.co.uk,https://www.abbotts.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Henry Adams,Bognor Regis,https://www.henryadams.co.uk,https://www.henryadams.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Jacobs Steel,Bognor Regis,https://www.jacobssteel.co.uk,https://www.jacobssteel.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Michael Jones,Bognor Regis,https://www.michaeljones.co.uk,https://www.michaeljones.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Robert Luff & Co,Bognor Regis,https://www.robertluff.co.uk,https://www.robertluff.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Bacon & Company,Bognor Regis,https://www.baconandco.co.uk,https://www.baconandco.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Savills,Littlehampton,https://www.savills.co.uk,https://www.savills.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Knight Frank,Littlehampton,https://www.knightfrank.co.uk,https://www.knightfrank.co.uk/contact,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Strutt & Parker,Littlehampton,https://www.struttandparker.com,https://www.struttandparker.com/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Fine & Country,Littlehampton,https://www.fineandcountry.co.uk,https://www.fineandcountry.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Chancellors,Littlehampton,https://www.chancellors.co.uk,https://www.chancellors.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Bairstow Eves,Arundel,https://www.bairstoweves.co.uk,https://www.bairstoweves.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Abbotts,Arundel,https://www.abbotts.co.uk,https://www.abbotts.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Taylors,Arundel,https://www.taylorsestateagents.co.uk,https://www.taylorsestateagents.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Gascoigne-Pees,Arundel,https://www.gpees.co.uk,https://www.gpees.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
King & Chasemore,Arundel,https://www.kingandchasemore.co.uk,https://www.kingandchasemore.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Robert Luff & Co,Shoreham-by-Sea,https://www.robertluff.co.uk,https://www.robertluff.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Bacon & Company,Shoreham-by-Sea,https://www.baconandco.co.uk,https://www.baconandco.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Sims Williams,Shoreham-by-Sea,https://www.simswilliams.co.uk,https://www.simswilliams.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Oakfield,Shoreham-by-Sea,https://www.oakfield-property.co.uk,https://www.oakfield-property.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Brand Vaughan,Shoreham-by-Sea,https://www.brandvaughan.co.uk,https://www.brandvaughan.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Fine & Country,Lancing,https://www.fineandcountry.co.uk,https://www.fineandcountry.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Chancellors,Lancing,https://www.chancellors.co.uk,https://www.chancellors.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Haart,Lancing,https://www.haart.co.uk,https://www.haart.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Spicerhaart,Lancing,https://www.spicerhaart.co.uk,https://www.spicerhaart.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
KFH,Lancing,https://www.kfh.co.uk,https://www.kfh.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Gascoigne-Pees,Horsham,https://www.gpees.co.uk,https://www.gpees.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
King & Chasemore,Horsham,https://www.kingandchasemore.co.uk,https://www.kingandchasemore.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Cubitt & West,Horsham,https://www.cubittandwest.co.uk,https://www.cubittandwest.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Douglas Allen,Horsham,https://www.douglasallen.co.uk,https://www.douglasallen.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Wards,Horsham,https://www.wardsofkent.co.uk,https://www.wardsofkent.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Oakfield,Crawley,https://www.oakfield-property.co.uk,https://www.oakfield-property.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Brand Vaughan,Crawley,https://www.brandvaughan.co.uk,https://www.brandvaughan.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Maslen Estate Agents,Crawley,https://www.maslen.co.uk,https://www.maslen.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Move Sussex,Crawley,https://www.movesussex.uk,https://www.movesussex.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Taylor Engley,Crawley,https://www.taylor-engley.co.uk,https://www.taylor-engley.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Spicerhaart,Haywards Heath,https://www.spicerhaart.co.uk,https://www.spicerhaart.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
KFH,Haywards Heath,https://www.kfh.co.uk,https://www.kfh.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Foxtons,Haywards Heath,https://www.foxtons.co.uk,https://www.foxtons.co.uk/contact,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Chestertons,Haywards Heath,https://www.chestertons.co.uk,https://www.chestertons.co.uk/contact,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Dexters,Haywards Heath,https://www.dexters.co.uk,https://www.dexters.co.uk/contact,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Douglas Allen,Burgess Hill,https://www.douglasallen.co.uk,https://www.douglasallen.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Wards,Burgess Hill,https://www.wardsofkent.co.uk,https://www.wardsofkent.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Your Move,Burgess Hill,https://www.your-move.co.uk,https://www.your-move.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Reeds Rains,Burgess Hill,https://www.reedsrains.co.uk,https://www.reedsrains.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Hunters,Burgess Hill,https://www.hunters.com,https://www.hunters.com/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Move Sussex,East Grinstead,https://www.movesussex.uk,https://www.movesussex.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Taylor Engley,East Grinstead,https://www.taylor-engley.co.uk,https://www.taylor-engley.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Town Property,East Grinstead,https://www.town-property.com,https://www.town-property.com/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Open House,East Grinstead,https://www.openhouseestateagents.com,https://www.openhouseestateagents.com/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Connells,East Grinstead,https://www.connells.co.uk,https://www.connells.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Chestertons,Hassocks,https://www.chestertons.co.uk,https://www.chestertons.co.uk/contact,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Dexters,Hassocks,https://www.dexters.co.uk,https://www.dexters.co.uk/contact,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Acorn,Hassocks,https://www.acorngroup.co.uk,https://www.acorngroup.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Andrews,Hassocks,https://www.andrewsonline.co.uk,https://www.andrewsonline.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Romans,Hassocks,https://www.romans.co.uk,https://www.romans.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Reeds Rains,Uckfield,https://www.reedsrains.co.uk,https://www.reedsrains.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Hunters,Uckfield,https://www.hunters.com,https://www.hunters.com/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Belvoir,Uckfield,https://www.belvoir.co.uk,https://www.belvoir.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Northwood,Uckfield,https://www.northwooduk.com,https://www.northwooduk.com/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Martin & Co,Uckfield,https://www.martinco.com,https://www.martinco.com/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Open House,Lewes,https://www.openhouseestateagents.com,https://www.openhouseestateagents.com/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Connells,Lewes,https://www.connells.co.uk,https://www.connells.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
William H Brown,Lewes,https://www.williamhbrown.co.uk,https://www.williamhbrown.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Fox & Sons,Lewes,https://www.fox-and-sons.co.uk,https://www.fox-and-sons.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Barnard Marcus,Lewes,https://www.barnardmarcus.co.uk,https://www.barnardmarcus.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Andrews,Eastbourne,https://www.andrewsonline.co.uk,https://www.andrewsonline.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Romans,Eastbourne,https://www.romans.co.uk,https://www.romans.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Leaders,Eastbourne,https://www.leaders.co.uk,https://www.leaders.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Mansell McTaggart,Eastbourne,https://www.mansellmctaggart.co.uk,https://www.mansellmctaggart.co.uk/contact,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Henry Adams,Eastbourne,https://www.henryadams.co.uk,https://www.henryadams.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Northwood,Hastings,https://www.northwooduk.com,https://www.northwooduk.com/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Martin & Co,Hastings,https://www.martinco.com,https://www.martinco.com/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Winkworth,Hastings,https://www.winkworth.co.uk,https://www.winkworth.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Hamptons,Hastings,https://www.hamptons.co.uk,https://www.hamptons.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Savills,Hastings,https://www.savills.co.uk,https://www.savills.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Fox & Sons,Bexhill-on-Sea,https://www.fox-and-sons.co.uk,https://www.fox-and-sons.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Barnard Marcus,Bexhill-on-Sea,https://www.barnardmarcus.co.uk,https://www.barnardmarcus.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Allen & Harris,Bexhill-on-Sea,https://www.allenandharris.co.uk,https://www.allenandharris.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Mann,Bexhill-on-Sea,https://www.manncountrywide.co.uk,https://www.manncountrywide.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Bairstow Eves,Bexhill-on-Sea,https://www.bairstoweves.co.uk,https://www.bairstoweves.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Mansell McTaggart,Rye,https://www.mansellmctaggart.co.uk,https://www.mansellmctaggart.co.uk/contact,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Henry Adams,Rye,https://www.henryadams.co.uk,https://www.henryadams.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Jacobs Steel,Rye,https://www.jacobssteel.co.uk,https://www.jacobssteel.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
Michael Jones,Rye,https://www.michaeljones.co.uk,https://www.michaeljones.co.uk/contact-us,Sussex,Needs manual verification,Use published website/contact page; verify branch exists before outreach.
